,GEOID,tract,NTA2020,NTAName,Total Estimate,White alone Estimate,Black or African American alone Estimate,American Indian and Alaska Native alone Estimate,Asian alone Estimate,Native Hawaiian and Other Pacific Islander alone Estimate,Some Other Race alone Estimate,Two or More Races Estimate,Two races including Some Other Race Estimate,"Two races excluding Some Other Race, and three or more races Estimate",Median Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars)
0,36061000100,000100,MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,36061000201,000201,MN0301,Chinatown-Two Bridges,2761.0,365.0,141.0,0.0,754.0,0.0,514.0,987.0,838.0,149.0,18012.0
2,36061000600,000600,MN0301,Chinatown-Two Bridges,10628.0,967.0,976.0,118.0,6123.0,0.0,1649.0,795.0,50.0,745.0,11455.0
3,36061001401,001401,MN0302,Lower East Side,2999.0,2283.0,157.0,0.0,393.0,0.0,55.0,111.0,5.0,106.0,56379.0
4,36061001402,001402,MN0302,Lower East Side,2693.0,949.0,187.0,2.0,872.0,0.0,497.0,186.0,7.0,179.0,34512.0
5,36061001800,001800,MN0302,Lower East Side,7101.0,2204.0,321.0,223.0,3638.0,0.0,283.0,432.0,29.0,403.0,22153.0
6,36061002201,002201,MN0302,Lower East Side,6372.0,2263.0,1139.0,26.0,1063.0,0.0,1577.0,304.0,65.0,239.0,19694.0
7,36061002601,002601,MN0303,East Village,3977.0,1597.0,446.0,15.0,720.0,0.0,514.0,685.0,436.0,249.0,19029.0
8,36061002602,002602,MN0303,East Village,3633.0,2511.0,205.0,62.0,480.0,0.0,238.0,137.0,0.0,137.0,52527.0
9,36061002800,002800,MN0303,East Village,6404.0,3203.0,703.0,0.0,948.0,0.0,966.0,584.0,266.0,318.0,43077.0
10,36061003100,003100,MN0102,Tribeca-Civic Center,2616.0,1540.0,233.0,0.0,559.0,0.0,94.0,190.0,65.0,125.0,26419.0
11,36061003200,003200,MN0303,East Village,7873.0,6461.0,300.0,0.0,760.0,0.0,269.0,83.0,0.0,83.0,56475.0
