nta_code,nta_name,dof_name,neighborhood,borough,year,number_of_sales,average_sale_price,median_sale_price,lowest_sale_price,highest_sale_price,hvi
BK0101,Greenpoint,GREENPOINT,Greenpoint,Brooklyn,2010,48,725852.6666666666,750000.0,168000,1300000,493657.3823311346
BK0101,Greenpoint,GREENPOINT,Greenpoint,Brooklyn,2011,55,737106.6666666666,711000.0,200000,1290000,502709.25799960736
BK0101,Greenpoint,GREENPOINT,Greenpoint,Brooklyn,2012,71,820468.6666666666,782500.0,270000,2499000,533897.4765631334
BK0101,Greenpoint,GREENPOINT,Greenpoint,Brooklyn,2013,65,930549.6666666666,990000.0,215000,3740000,610442.1074040228
BK0101,Greenpoint,GREENPOINT,Greenpoint,Brooklyn,2014,52,1389900.3333333333,1275000.0,480000,2700000,724293.7400454162
BK0101,Greenpoint,GREENPOINT,Greenpoint,Brooklyn,2015,79,1695043.6666666667,1625000.0,250000,18000000,839349.0712828105
BK0101,Greenpoint,GREENPOINT,Greenpoint,Brooklyn,2016,53,1682666.3333333333,1800000.0,508000,4470000,922999.7104891689
BK0101,Greenpoint,GREENPOINT,Greenpoint,Brooklyn,2017,69,1888383.3333333333,1820000.0,357000,3680000,977712.5888433201
BK0101,Greenpoint,GREENPOINT,Greenpoint,Brooklyn,2018,63,1646889.0,1800000.0,247500,3750000,1009818.140754716
BK0101,Greenpoint,GREENPOINT,Greenpoint,Brooklyn,2019,62,1901965.6666666667,1800000.0,740000,4949000,1054894.7973201703
BK0101,Greenpoint,GREENPOINT,Greenpoint,Brooklyn,2020,41,1763716.6666666667,1788750.0,250000,4700000,1071035.0537997996
BK0101,Greenpoint,GREENPOINT,Greenpoint,Brooklyn,2021,99,2036050.6666666667,1850000.0,450000,4900000,1096377.539801377
BK0101,Greenpoint,GREENPOINT,Greenpoint,Brooklyn,2022,79,2285950.6666666665,2250000.0,575338,4400000,1204484.358718425
BK0102,Williamsburg,WILLIAMSBURG-CENTRAL,Williamsburg,Brooklyn,2010,18,534945.6666666666,570000.0,240000,990000,490666.91110264836
BK0102,Williamsburg,WILLIAMSBURG-CENTRAL,Williamsburg,Brooklyn,2011,17,473199.0,420000.0,177000,951000,496514.4733647657
BK0102,Williamsburg,WILLIAMSBURG-CENTRAL,Williamsburg,Brooklyn,2012,13,760954.6666666666,761844.0,274500,1550000,522343.4848212698
BK0102,Williamsburg,WILLIAMSBURG-CENTRAL,Williamsburg,Brooklyn,2013,15,753452.3333333334,750000.0,416666,1110000,584208.3399665628
BK0102,Williamsburg,WILLIAMSBURG-CENTRAL,Williamsburg,Brooklyn,2014,14,1010930.3333333334,700000.0,320000,3205000,689573.0197926409
BK0102,Williamsburg,WILLIAMSBURG-CENTRAL,Williamsburg,Brooklyn,2015,13,1361791.6666666667,1149250.0,470000,4855000,789822.2868970288
BK0102,Williamsburg,WILLIAMSBURG-CENTRAL,Williamsburg,Brooklyn,2016,13,1121509.0,1100465.0,300000,2100000,832543.0928860476
BK0102,Williamsburg,WILLIAMSBURG-CENTRAL,Williamsburg,Brooklyn,2017,16,1174250.0,1154250.0,200000,2460000,868753.9833657852
BK0102,Williamsburg,WILLIAMSBURG-CENTRAL,Williamsburg,Brooklyn,2018,23,1379152.3333333333,1315000.0,490000,2700000,919035.4516193088
BK0102,Williamsburg,WILLIAMSBURG-CENTRAL,Williamsburg,Brooklyn,2019,14,1945313.0,1614600.0,600000,4100000,946829.5131935197
BK0102,Williamsburg,WILLIAMSBURG-CENTRAL,Williamsburg,Brooklyn,2020,18,1331454.3333333333,1250000.0,250000,2400000,923681.3351572634
BK0102,Williamsburg,WILLIAMSBURG-CENTRAL,Williamsburg,Brooklyn,2021,16,1187022.3333333333,990500.0,300000,2000000,962205.926362495
BK0102,Williamsburg,WILLIAMSBURG-CENTRAL,Williamsburg,Brooklyn,2022,18,2032839.5,1978125.0,560500,3550000,1035870.367129835
BK0104,East Williamsburg,WILLIAMSBURG-EAST,Williamsburg,Brooklyn,2010,38,712023.6666666666,647500.0,235000,1575000,490666.91110264836
BK0104,East Williamsburg,WILLIAMSBURG-EAST,Williamsburg,Brooklyn,2011,43,675357.3333333334,750000.0,285000,1315000,496514.4733647657
BK0104,East Williamsburg,WILLIAMSBURG-EAST,Williamsburg,Brooklyn,2012,48,779135.0,665000.0,200000,1950000,522343.4848212698
BK0104,East Williamsburg,WILLIAMSBURG-EAST,Williamsburg,Brooklyn,2013,53,1179131.3333333333,1200000.0,280000,1900000,584208.3399665628
BK0104,East Williamsburg,WILLIAMSBURG-EAST,Williamsburg,Brooklyn,2014,49,1156153.6666666667,1100000.0,325000,2315000,689573.0197926409
BK0104,East Williamsburg,WILLIAMSBURG-EAST,Williamsburg,Brooklyn,2015,71,1733951.6666666667,1737500.0,521169,5500000,789822.2868970288
BK0104,East Williamsburg,WILLIAMSBURG-EAST,Williamsburg,Brooklyn,2016,63,1802570.0,1525000.0,325000,5500000,832543.0928860476
BK0104,East Williamsburg,WILLIAMSBURG-EAST,Williamsburg,Brooklyn,2017,52,1853212.6666666667,1949500.0,305000,3950000,868753.9833657852
BK0104,East Williamsburg,WILLIAMSBURG-EAST,Williamsburg,Brooklyn,2018,51,2194395.0,2100000.0,400000,5380000,919035.4516193088
BK0104,East Williamsburg,WILLIAMSBURG-EAST,Williamsburg,Brooklyn,2019,46,1906641.3333333333,1816425.0,300000,5000000,946829.5131935197
BK0104,East Williamsburg,WILLIAMSBURG-EAST,Williamsburg,Brooklyn,2020,35,1927381.0,1875000.0,635000,5282500,923681.3351572634
BK0104,East Williamsburg,WILLIAMSBURG-EAST,Williamsburg,Brooklyn,2021,75,1925721.3333333333,1725000.0,400000,3350000,962205.926362495
BK0104,East Williamsburg,WILLIAMSBURG-EAST,Williamsburg,Brooklyn,2022,58,2059565.3333333333,1900000.0,235000,4800000,1035870.367129835
BK0201,Brooklyn Heights,BROOKLYN HEIGHTS,Brooklyn Heights,Brooklyn,2010,24,3352250.3333333335,3100000.0,1500000,6200000,1074355.0626042401
BK0201,Brooklyn Heights,BROOKLYN HEIGHTS,Brooklyn Heights,Brooklyn,2011,15,3366875.0,3100000.0,2100000,6000000,1091582.6023354882
BK0201,Brooklyn Heights,BROOKLYN HEIGHTS,Brooklyn Heights,Brooklyn,2012,22,5264565.333333333,3618750.0,885000,12500000,1184232.4568348038
BK0201,Brooklyn Heights,BROOKLYN HEIGHTS,Brooklyn Heights,Brooklyn,2013,15,3965270.3333333335,3400000.0,1699912,8675000,1356239.6988715504
BK0201,Brooklyn Heights,BROOKLYN HEIGHTS,Brooklyn Heights,Brooklyn,2014,21,4964506.0,4050000.0,990000,10625000,1612688.37967918
BK0201,Brooklyn Heights,BROOKLYN HEIGHTS,Brooklyn Heights,Brooklyn,2015,12,6898194.333333333,7452500.0,4000000,10250000,1769799.0188114105
BK0201,Brooklyn Heights,BROOKLYN HEIGHTS,Brooklyn Heights,Brooklyn,2016,11,4768055.666666667,4250000.0,2350000,9400000,1878926.4483592997
BK0201,Brooklyn Heights,BROOKLYN HEIGHTS,Brooklyn Heights,Brooklyn,2017,19,5788589.333333333,5200000.0,447300,12900000,1829331.5562043888
BK0201,Brooklyn Heights,BROOKLYN HEIGHTS,Brooklyn Heights,Brooklyn,2018,18,6902583.333333333,6700000.0,2877000,12000000,1761756.524014951
BK0201,Brooklyn Heights,BROOKLYN HEIGHTS,Brooklyn Heights,Brooklyn,2019,24,4973512.0,4675000.0,2530000,9800000,1716982.8168536548
BK0201,Brooklyn Heights,BROOKLYN HEIGHTS,Brooklyn Heights,Brooklyn,2020,14,5598706.333333333,4225000.0,1500000,25500000,1601761.9267871717
BK0201,Brooklyn Heights,BROOKLYN HEIGHTS,Brooklyn Heights,Brooklyn,2021,32,8405889.0,6212500.0,2325000,12750000,1655466.6760305718
BK0201,Brooklyn Heights,BROOKLYN HEIGHTS,Brooklyn Heights,Brooklyn,2022,28,8163568.0,6500000.0,1250000,18300000,1752817.685578665
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,BOERUM HILL,Downtown,Brooklyn,2010,24,1332271.3333333333,1312500.0,475000,2390000,642553.5808937947
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,BOERUM HILL,Downtown,Brooklyn,2011,23,1672321.3333333333,1775000.0,695000,2870000,646025.0493914749
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,BOERUM HILL,Downtown,Brooklyn,2012,29,1605918.6666666667,1572500.0,300000,3900000,656399.1054720689
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,BOERUM HILL,Downtown,Brooklyn,2013,24,2964459.6666666665,2550000.0,225000,23000000,742873.9388598213
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,BOERUM HILL,Downtown,Brooklyn,2014,28,2710909.0,2012500.0,260000,8800000,871328.9290221566
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,BOERUM HILL,Downtown,Brooklyn,2015,30,2813174.0,2690513.0,314340,5450000,974158.4880519087
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,BOERUM HILL,Downtown,Brooklyn,2016,33,3068962.0,2920000.0,997885,13600000,1030800.9183271592
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,BOERUM HILL,Downtown,Brooklyn,2017,35,3150616.3333333335,2837500.0,200000,5850000,1074771.7130828835
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,BOERUM HILL,Downtown,Brooklyn,2018,29,3031779.6666666665,2925000.0,957000,7600000,1159857.7409515006
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,BOERUM HILL,Downtown,Brooklyn,2019,21,2648566.6666666665,2837500.0,260000,4955000,1078291.8387464522
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,BOERUM HILL,Downtown,Brooklyn,2020,24,2686621.6666666665,2800000.0,414726,4850000,1044300.9476677055
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,BOERUM HILL,Downtown,Brooklyn,2021,48,3194302.0,2812500.0,200000,9000000,1085267.2356062005
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,BOERUM HILL,Downtown,Brooklyn,2022,37,4118150.6666666665,3300000.0,1250000,9500000,1050736.4800893278
BK0203,Fort Greene,FORT GREENE,Fort Greene,Brooklyn,2010,33,1263207.3333333333,1175000.0,222250,2800000,741869.6978773549
BK0203,Fort Greene,FORT GREENE,Fort Greene,Brooklyn,2011,31,1166453.6666666667,1050000.0,175000,2100000,749893.1053005009
