DBN,school_name,year,pct_attendance,pct_chronically_absent
01M015,P.S. 015 Roberto Clemente,2019,92.62472534,24.47916603
01M015,P.S. 015 Roberto Clemente,2020,92.89133453,28.43137169
01M015,P.S. 015 Roberto Clemente,2021,87.97344208,42.21105576
01M015,P.S. 015 Roberto Clemente,2022,84.99510193,59.4736824
01M015,P.S. 015 Roberto Clemente,2023,87.26693726,50.48543549
01M019,P.S. 019 Asher Levy,2019,91.10301208,32.83018875
01M019,P.S. 019 Asher Levy,2020,91.84460449,28.79999924
01M019,P.S. 019 Asher Levy,2021,93.1217804,23.47417831
01M019,P.S. 019 Asher Levy,2022,87.88537598,52.38095093
01M020,P.S. 020 Anna Silver,2019,92.06154633,31.73077011
01M020,P.S. 020 Anna Silver,2020,91.13122559,37.72101974
01M020,P.S. 020 Anna Silver,2021,92.29385376,23.29411697
01M020,P.S. 020 Anna Silver,2022,85.86123657,53.55191422
01M020,P.S. 020 Anna Silver,2023,87.10037231,57.32647705
01M034,P.S. 034 Franklin D. Roosevelt,2019,88.50045013,48.02431488
01M034,P.S. 034 Franklin D. Roosevelt,2020,87.13712311,47.24919128
01M034,P.S. 034 Franklin D. Roosevelt,2021,88.52602386,40.55944061
01M034,P.S. 034 Franklin D. Roosevelt,2022,80.30741882,70.24221802
01M034,P.S. 034 Franklin D. Roosevelt,2023,81.92786407,66.796875
01M063,The STAR Academy - P.S.63,2019,90.8647995,33.06772995
01M063,The STAR Academy - P.S.63,2020,90.63497162,33.73983765
01M063,The STAR Academy - P.S.63,2021,92.91767883,25.67567635
01M063,The STAR Academy - P.S.63,2022,87.96910858,51.54639053
01M063,The STAR Academy - P.S.63,2023,88.28869629,50.73891449
01M064,P.S. 064 Robert Simon,2019,88.68851471,48.14814758
01M064,P.S. 064 Robert Simon,2020,90.70039368,38.05667877
01M064,P.S. 064 Robert Simon,2021,87.59320068,48.06866837
01M064,P.S. 064 Robert Simon,2022,82.90237427,66.08695984
01M064,P.S. 064 Robert Simon,2023,86.13449097,54.3103447
01M110,P.S. 110 Florence Nightingale,2019,93.8995285,24.29667473
01M110,P.S. 110 Florence Nightingale,2020,93.92708588,19.36274529
01M110,P.S. 110 Florence Nightingale,2021,93.94639587,19.37172699
01M110,P.S. 110 Florence Nightingale,2022,89.85777283,41.39941788
01M110,P.S. 110 Florence Nightingale,2023,90.33002472,39.24050522
01M134,P.S. 134 Henrietta Szold,2019,89.31084442,48.11320877
01M134,P.S. 134 Henrietta Szold,2020,90.52146149,40.9774437
01M134,P.S. 134 Henrietta Szold,2021,84.12837219,54.79452133
01M134,P.S. 134 Henrietta Szold,2022,83.64463806,66.1764679
01M134,P.S. 134 Henrietta Szold,2023,86.43112183,62.22222137
01M140,P.S. 140 Nathan Straus,2019,88.50696564,49.15662766
01M140,P.S. 140 Nathan Straus,2020,88.71497345,47.51243591
01M140,P.S. 140 Nathan Straus,2021,78.78320313,63.14363098
01M140,P.S. 140 Nathan Straus,2022,78.27893829,79.83870697
01M140,P.S. 140 Nathan Straus,2023,81.69595337,69.0821228
01M142,P.S. 142 Amalia Castro,2019,90.75862122,38.58267593
01M142,P.S. 142 Amalia Castro,2020,90.7039032,38.285713200000004
01M142,P.S. 142 Amalia Castro,2021,90.43283844,35.7558136
01M142,P.S. 142 Amalia Castro,2022,85.07099152,63.15789413
01M142,P.S. 142 Amalia Castro,2023,86.66688538,54.12371063
01M184,P.S. 184m Shuang Wen,2019,97.5777359,4.617604733
01M184,P.S. 184m Shuang Wen,2020,96.89513397,6.292749882
01M184,P.S. 184m Shuang Wen,2021,97.29586029,6.18131876
01M184,P.S. 184m Shuang Wen,2022,96.82701874,6.097560883
01M184,P.S. 184m Shuang Wen,2023,96.20747375,10.06622505
01M188,P.S. 188 The Island School,2019,87.7538147,51.55279541
01M188,P.S. 188 The Island School,2020,88.36962891,49.41995239
01M188,P.S. 188 The Island School,2021,83.4755249,53.05623627
01M188,P.S. 188 The Island School,2022,81.477211,66.74208069
01M188,P.S. 188 The Island School,2023,84.0588913,57.19696808
01M292,Orchard Collegiate Academy,2019,91.81071471999999,30.3921566
01M292,Orchard Collegiate Academy,2020,91.05058289,37.22943878
01M292,Orchard Collegiate Academy,2021,80.67683411,56.85618591
01M292,Orchard Collegiate Academy,2022,76.710289,65.55184174
01M292,Orchard Collegiate Academy,2023,81.6654129,55.714286799999996
01M315,The East Village Community School,2019,94.65976715,14.91228104
01M315,The East Village Community School,2020,94.20095062,18.39762688
01M315,The East Village Community School,2021,95.76663208,11.32686043
01M315,The East Village Community School,2022,91.8285675,26.75159264
01M315,The East Village Community School,2023,89.87248993,37.21881485
01M332,University Neighborhood Middle School,2019,91.7199173,27.4418602
01M332,University Neighborhood Middle School,2020,91.77539063,26.7857151
01M332,University Neighborhood Middle School,2021,84.88298035,46.44549942
01M332,University Neighborhood Middle School,2022,85.31466675,54.63414764
01M332,University Neighborhood Middle School,2023,83.90238953,53.26633072
01M361,The Children's Workshop School,2019,91.83238983,27.32732773
01M361,The Children's Workshop School,2020,91.72328186,26.97947121
01M361,The Children's Workshop School,2021,91.99043274,23.96166229
01M361,The Children's Workshop School,2022,92.17062378,23.46938705
01M361,The Children's Workshop School,2023,89.99610901,42.01183319
01M363,Neighborhood School,2019,93.44371796,19.55128288
01M363,Neighborhood School,2020,93.62261963,19.80519485
01M363,Neighborhood School,2021,96.33894348,9.090909004
01M363,Neighborhood School,2022,90.20330811,40.16064072
01M363,Neighborhood School,2023,89.48195648,48.33333206
01M364,Earth School,2019,93.0620575,24.3016758
01M364,Earth School,2020,91.95905304,29.5580101
01M364,Earth School,2021,92.69351959,25.25252533
01M364,Earth School,2022,89.09944916,42.51012039
01M364,Earth School,2023,89.24219513,46.69603348
01M378,School for Global Leaders,2019,89.16274261,41.15523529
01M378,School for Global Leaders,2020,90.59640503,34.23423386
01M378,School for Global Leaders,2021,93.77033997,20
01M378,School for Global Leaders,2022,87.99932861,47.48603439
01M378,School for Global Leaders,2023,87.83375549,52.45098114
01M448,University Neighborhood High School,2019,91.21324158,27.74451065
01M448,University Neighborhood High School,2020,91.27534485,25.79999924
01M448,University Neighborhood High School,2021,86.03792572,38.68739319
01M448,University Neighborhood High School,2022,83.56562805,53.30812836
01M448,University Neighborhood High School,2023,87.84564972,37.83230972
01M450,East Side Community School,2019,94.70715332,11.82481766
01M450,East Side Community School,2020,95.16418457,11.97080326
01M450,East Side Community School,2021,97.77419281,3.795620441
01M450,East Side Community School,2022,92.19406891,25.85227203
01M450,East Side Community School,2023,93.63143158,19.66292191
01M509,Marta Valle High School,2019,79.75127411,60
01M509,Marta Valle High School,2020,84.19455719,50
01M539,"New Explorations into Science, Technology and Math",2019,96.08653259,6.651506424
01M539,"New Explorations into Science, Technology and Math",2020,95.77776337,8.710033417
01M539,"New Explorations into Science, Technology and Math",2021,96.67879486,6.844741344
01M539,"New Explorations into Science, Technology and Math",2022,93.98872375,15.01519775
01M539,"New Explorations into Science, Technology and Math",2023,94.29398346,14.03294659
01M696,Bard High School Early College,2019,95.0507431,11.34521866
01M696,Bard High School Early College,2020,95.89951324,10.01615524
01M696,Bard High School Early College,2021,94.21598816,19.78022003
01M696,Bard High School Early College,2022,89.63925934,37.70226669
01M696,Bard High School Early College,2023,92.16017914,25.83479881
01M839,Tompkins Square Middle School,2019,95.08178711,13.25966835
01M839,Tompkins Square Middle School,2020,94.54528046,13.97260284
01M839,Tompkins Square Middle School,2021,96.81153107,7.282913208
01M839,Tompkins Square Middle School,2022,92.13405609,28.78338242
01M839,Tompkins Square Middle School,2023,92.5969162,26.28398705
02M001,P.S. 001 Alfred E. Smith,2019,94.28735352,19.36507988
02M001,P.S. 001 Alfred E. Smith,2020,93.76663971,21.64179039
02M001,P.S. 001 Alfred E. Smith,2021,91.86660767,29.62962914
02M001,P.S. 001 Alfred E. Smith,2022,86.60163116,48.52320862
02M001,P.S. 001 Alfred E. Smith,2023,87.11673737,50.92592621
02M002,P.S. 002 Meyer London,2019,96.34438324,13.3720932
02M002,P.S. 002 Meyer London,2020,95.32710266,16.37931061
02M002,P.S. 002 Meyer London,2021,93.96225739,17.28972054
02M002,P.S. 002 Meyer London,2022,91.60313416,30.46875
02M002,P.S. 002 Meyer London,2023,93.07600403000001,25.64841461
02M003,P.S. 003 Charrette School,2019,93.5658493,20.56074715
02M003,P.S. 003 Charrette School,2020,93.65486145,16.78129387
02M003,P.S. 003 Charrette School,2021,96.736763,8.723748207
02M003,P.S. 003 Charrette School,2022,92.16859436,24.48979568
02M003,P.S. 003 Charrette School,2023,91.86798096,27.89855003
02M006,P.S. 006 Lillie D. Blake,2019,95.54787445,7.571428776
02M006,P.S. 006 Lillie D. Blake,2020,95.54358673,9.436834335
02M006,P.S. 006 Lillie D. Blake,2021,97.70318604,4.769736767
02M006,P.S. 006 Lillie D. Blake,2022,93.82331848,18.18181801
02M006,P.S. 006 Lillie D. Blake,2023,92.81664276,23.70617676
02M011,P.S. 011: The Sarah J. Garnet Elementary School,2019,94.85860443,13.62162209
02M011,P.S. 011: The Sarah J. Garnet Elementary School,2020,94.34846497,16.80942154
02M011,P.S. 011: The Sarah J. Garnet Elementary School,2021,96.62393951,10.57108116
02M011,P.S. 011: The Sarah J. Garnet Elementary School,2022,92.30329895,25.26595688
02M011,P.S. 011: The Sarah J. Garnet Elementary School,2023,90.55693817,32.44552231
02M033,P.S. 033 Chelsea Prep,2019,92.90332031,28.0851059
02M033,P.S. 033 Chelsea Prep,2020,93.07263184,24.81089211
02M033,P.S. 033 Chelsea Prep,2021,90.91098022,26.66666603
02M033,P.S. 033 Chelsea Prep,2022,90.27438354,35.60606003
02M033,P.S. 033 Chelsea Prep,2023,88.83308411,39.75903702
02M040,P.S. 040 Augustus Saint-Gaudens,2019,95.69363403,8.241758347
02M040,P.S. 040 Augustus Saint-Gaudens,2020,95.18733215,10.16713047
02M040,P.S. 040 Augustus Saint-Gaudens,2021,96.78656006,4.454685211
02M040,P.S. 040 Augustus Saint-Gaudens,2022,93.72257233,16.03927994
02M040,P.S. 040 Augustus Saint-Gaudens,2023,93.72719574,19.17355347
02M041,P.S. 041 Greenwich Village,2019,95.84449005,4.255319118
02M041,P.S. 041 Greenwich Village,2020,95.79219055,6.696428776
02M041,P.S. 041 Greenwich Village,2021,97.45440674,4.634581089
02M041,P.S. 041 Greenwich Village,2022,93.54573059,18.36327362
02M041,P.S. 041 Greenwich Village,2023,92.96006012,20.07952309
02M042,P.S. 042 Benjamin Altman,2019,97.12023926,7.419898987
02M042,P.S. 042 Benjamin Altman,2020,96.49627686,8.885017395
02M042,P.S. 042 Benjamin Altman,2021,97.67225647,6.533575535
02M042,P.S. 042 Benjamin Altman,2022,92.43608856,26.75276756
02M042,P.S. 042 Benjamin Altman,2023,94.96723938,15.03906345
02M047,47 The American Sign Language and English Secondar,2019,90.13513947,35.29411697
02M047,47 The American Sign Language and English Secondar,2020,90.33423615,42.1940918
02M047,47 The American Sign Language and English Secondar,2021,81.64538574,55.30973434
02M047,47 The American Sign Language and English Secondar,2022,79.9803772,71.66666412
02M047,47 The American Sign Language and English Secondar,2023,81.50134277,62.67942429
02M051,P.S. 051 Elias Howe,2019,91.59053802,32.08255005
02M051,P.S. 051 Elias Howe,2020,91.93251038,29.84790802
02M051,P.S. 051 Elias Howe,2021,87.71537018,34.75609589
02M051,P.S. 051 Elias Howe,2022,87.72396088,47.02127838
02M051,P.S. 051 Elias Howe,2023,87.18856812,52.39786911
02M059,P.S. 059 Beekman Hill International,2019,95.69718933,8.051529884
02M059,P.S. 059 Beekman Hill International,2020,95.54427338,10.2564106
02M059,P.S. 059 Beekman Hill International,2021,97.19652557,6.085526466
02M059,P.S. 059 Beekman Hill International,2022,91.75413513,25.34246635
02M059,P.S. 059 Beekman Hill International,2023,91.99778748,23.64620972
02M077,P.S. 77 Lower Lab School,2019,96.75487518,1.388888836
02M077,P.S. 77 Lower Lab School,2020,96.19802094,7.438016415
02M077,P.S. 77 Lower Lab School,2021,98.84307861,0
02M077,P.S. 77 Lower Lab School,2022,95.53781891,8.045976639
02M077,P.S. 77 Lower Lab School,2023,94.54673004,11.52815056
02M089,P.S. 89,2019,96.14430237,4.042553425
02M089,P.S. 89,2020,95.45297241,7.11206913
02M089,P.S. 89,2021,96.13680267,8.757061958
02M089,P.S. 89,2022,92.87445068,23.94366264
02M089,P.S. 89,2023,93.47154236,14.85714245
02M104,J.H.S. 104 Simon Baruch,2019,96.46286011,9.13043499
02M104,J.H.S. 104 Simon Baruch,2020,96.41666412,9.034543991
02M104,J.H.S. 104 Simon Baruch,2021,96.15847015,10.55662155
02M104,J.H.S. 104 Simon Baruch,2022,94.08572388,18.90440369
02M104,J.H.S. 104 Simon Baruch,2023,92.70019531,27.24637604
02M111,P.S. 111 Adolph S. Ochs,2019,91.53834534,37.42071915
02M111,P.S. 111 Adolph S. Ochs,2020,91.32971954,30.81760979
02M111,P.S. 111 Adolph S. Ochs,2021,88.34677887,35.83138275
02M111,P.S. 111 Adolph S. Ochs,2022,88.39765167,43.52617264
02M111,P.S. 111 Adolph S. Ochs,2023,85.52376556,57.22772217
02M114,East Side Middle School,2019,97.37746429,1.101321578
02M114,East Side Middle School,2020,97.27767181,2.614379168
02M114,East Side Middle School,2021,98.07704926,5.133928776
02M114,East Side Middle School,2022,96.40672302,6.775701046
02M114,East Side Middle School,2023,95.58058167,9.154929161
02M116,P.S. 116 Mary Lindley Murray,2019,94.26660919,17.94392586
02M116,P.S. 116 Mary Lindley Murray,2020,93.49687195,21.90476227
02M116,P.S. 116 Mary Lindley Murray,2021,92.59809113,19.85981369
02M116,P.S. 116 Mary Lindley Murray,2022,90.36814117,38.07228851
02M116,P.S. 116 Mary Lindley Murray,2023,87.3314209,49.04458618
02M124,P.S. 124 Yung Wing,2019,97.86232758,3.644314766
02M124,P.S. 124 Yung Wing,2020,97.11781311,4.698972225
02M124,P.S. 124 Yung Wing,2021,98.9682312,0.9104704261
02M124,P.S. 124 Yung Wing,2022,96.31915283,8.374383926
