nta_code,nta_name,dof_name,zillow_name,borough
BK0101,Greenpoint,GREENPOINT,Greenpoint,Brooklyn
BK0102,Williamsburg,WILLIAMSBURG-CENTRAL,Williamsburg,Brooklyn
BK0103,South Williamsburg,,Williamsburg,Brooklyn
BK0104,East Williamsburg,WILLIAMSBURG-EAST,Williamsburg,Brooklyn
BK0201,Brooklyn Heights,BROOKLYN HEIGHTS,Brooklyn Heights,Brooklyn
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,BOERUM HILL,Downtown,Brooklyn
BK0203,Fort Greene,FORT GREENE,Fort Greene,Brooklyn
BK0204,Clinton Hill,CLINTON HILL,Clinton Hill,Brooklyn
BK0261,Brooklyn Navy Yard,NAVY YARD,Brooklyn,Brooklyn
BK0301,Bedford-Stuyvesant (West),BEDFORD STUYVESANT,Bedford-Stuyvesant,Brooklyn
BK0302,Bedford-Stuyvesant (East),BEDFORD STUYVESANT,Bedford-Stuyvesant,Brooklyn
BK0401,Bushwick (West),BUSHWICK,Bushwick,Brooklyn
BK0402,Bushwick (East),BUSHWICK,Bushwick,Brooklyn
BK0471,The Evergreens Cemetery,,Evergreen,Brooklyn
BK0501,Cypress Hills,CYPRESS HILLS,Hill,Brooklyn
BK0502,East New York (North),EAST NEW YORK,East New York,Brooklyn
BK0503,East New York-New Lots,EAST NEW YORK,East New York,Brooklyn
BK0504,Spring Creek-Starrett City,SPRING CREEK,Spring Creek,Brooklyn
BK0505,East New York-City Line,EAST NEW YORK,East New York,Brooklyn
BK0571,Highland Park-Cypress Hills Cemeteries (South),CYPRESS HILLS,Highland Park,Brooklyn
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,CARROLL GARDENS,Carroll Gardens,Brooklyn
BK0602,Park Slope,PARK SLOPE,Park Slope,Brooklyn
BK0701,Windsor Terrace-South Slope,WINDSOR TERRACE,South,Brooklyn
BK0702,Sunset Park (West),SUNSET PARK,Sunset Park,Brooklyn
BK0703,Sunset Park (Central),SUNSET PARK,Sunset Park,Brooklyn
BK0771,Green-Wood Cemetery,,Greenwood,Brooklyn
BK0801,Prospect Heights,PROSPECT HEIGHTS,Prospect Heights,Brooklyn
BK0802,Crown Heights (North),CROWN HEIGHTS,Crown Heights,Brooklyn
BK0891,Lincoln Terrace Park,,Lincoln Terrace,Brooklyn
BK0901,Crown Heights (South),CROWN HEIGHTS,Crown Heights South,Brooklyn
BK0902,Prospect Lefferts Gardens-Wingate,,Wingate,Brooklyn
BK1001,Bay Ridge,BAY RIDGE,Bay Ridge,Brooklyn
BK1002,Dyker Heights,DYKER HEIGHTS,Dyker Heights,Brooklyn
BK1061,Fort Hamilton,,Hamilton,Brooklyn
BK1091,Dyker Beach Park,,Beach,Brooklyn
BK1101,Bensonhurst,BENSONHURST,Bensonhurst,Brooklyn
BK1102,Bath Beach,BATH BEACH,Bath Beach,Brooklyn
BK1103,Gravesend (West),GRAVESEND,Gravesend,Brooklyn
BK1201,Sunset Park (East)-Borough Park (West),BOROUGH PARK,Borough Park,Brooklyn
BK1202,Borough Park,BOROUGH PARK,Borough Park,Brooklyn
BK1203,Kensington,KENSINGTON,Kensington,Brooklyn
BK1204,Mapleton-Midwood (West),MIDWOOD,Midwood,Brooklyn
BK1301,Gravesend (South),GRAVESEND,Gravesend,Brooklyn
BK1302,Coney Island-Sea Gate,CONEY ISLAND,Coney Island,Brooklyn
BK1303,Brighton Beach,BRIGHTON BEACH,Brighton Beach,Brooklyn
BK1391,Calvert Vaux Park,,,Brooklyn
BK1401,Flatbush,FLATBUSH-CENTRAL,Flatbush,Brooklyn
BK1402,Flatbush (West)-Ditmas Park-Parkville,,Flatbush,Brooklyn
BK1403,Midwood,MIDWOOD,Midwood,Brooklyn
BK1501,Gravesend (East)-Homecrest,GRAVESEND,Gravesend,Brooklyn
BK1502,Madison,MADISON,Madison,Brooklyn
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,GERRITSEN BEACH,Sheepshead Bay,Brooklyn
BK1601,Ocean Hill,OCEAN HILL,Ocean Hills,Brooklyn
BK1602,Brownsville,BROWNSVILLE,Brownsville,Brooklyn
BK1701,East Flatbush-Erasmus,FLATBUSH-EAST,East Flatbush,Brooklyn
BK1702,East Flatbush-Farragut,FLATBUSH-EAST,East Flatbush,Brooklyn
BK1703,East Flatbush-Rugby,FLATBUSH-EAST,East,Brooklyn
BK1704,East Flatbush-Remsen Village,FLATBUSH-EAST,East Flatbush,Brooklyn
BK1771,Holy Cross Cemetery,,Ross,Brooklyn
BK1801,Flatlands,FLATLANDS,Flatlands,Brooklyn
